Account,balance,date,saving
"Compte Principal (CBC)",0,2025-12-31,No
"Belfius (Mao)",0,2025-12-31,No
"Belfius (Fri)",0,2025-12-31,No
"1_10eme_Mao (ep)",1860,2025-12-31,Yes
"1_10eme_Fri (ep)",19637,2025-12-31,Yes
"Aos(ep)",8700,2025-12-31,Yes
"Enih(ep)",7674,2025-12-31,Yes
"Ael(ep)",6207,2025-12-31,Yes
"Reserve_Sante_Creche(Provision)",2596,2025-12-31,Yes
"Depense_Non_Courante(Provision)",7351,2025-12-31,Yes
"etf_enfant(ep)",0,2025-12-31,No
"Frial_Cash(Provision)",0,2025-12-31,No

		
