Type,Date,Label,Quantity,Value,Source,Destination,Category,Icon,Color,Periodicity,EndDate,IsSaving,IsInvestment,Nature,IsPassive,Entity
RECURRING_TEMPLATE,2026-01-01,"Provision Mutualia -  Santé",,15,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Assurance CBC - habitation / Familiale",,65,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provison Revenu Cadastrale",,125,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Taxes Communales",,25,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision EP PENSION",,90,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-04-01,"Provison Petites Vacances & weekend",,25,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Bien être programmé",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Aide et Soutien familial",,75,"CBC_MAO","external","Discrétionnaire",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"LDD (lili)",,100,"CBC_MAO","external","Discrétionnaire",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Frais divers (prixtel, ...)",,10,"CBC_MAO","external","Discrétionnaire",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Frais Formation",,15,"BEL_FRI","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Frais Bancaire BELFIUS",,10,"BEL_FRI","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Argent de poche",,200,"BEL_FRI","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Aide ménagère",,100,"BEL_FRI","BEL_RESERVE_SANTE_CRECHE","Dépenses variables",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Garderie Activité Extra Scolaire + intérêts sur compte",,200,"BEL_FRI","BEL_RESERVE_SANTE_CRECHE","Dépenses variables",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Visite médicale - soins - pharmacie",,70,"BEL_FRI","BEL_RESERVE_SANTE_CRECHE","Dépenses variables",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision  Sorties & Resto",,50,"BEL_FRI","BEL_RESERVE_SANTE_CRECHE","Dépenses variables",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Mutualia -  Santé",,15,"BEL_FRI","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Yuzzu Assurance NISSAN",,160,"BEL_FRI","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision EP PENSION",,90,"BEL_FRI","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provison Nissan CT + TC",,25,"BEL_FRI","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision USA 2026",,75,"BEL_FRI","BEL_DEPENSE_NON_COURANTE","Bien être programmé",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provison - Travaux Maison",,50,"BEL_FRI","BEL_DEPENSE_NON_COURANTE","Divers et hors budgets",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision SWDE",,10,"BEL_FRI","BEL_DEPENSE_NON_COURANTE","Divers et hors budgets",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Engie",,10,"BEL_FRI","BEL_DEPENSE_NON_COURANTE","Divers et hors budgetsexternal",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Auto Réparations",,20,"BEL_FRI","BEL_DEPENSE_NON_COURANTE","Divers et hors budgets",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provison Intérêts & Divers hors budgets",,15,"BEL_FRI","BEL_DEPENSE_NON_COURANTE","Divers et hors budgets",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Daddy",,100,"BEL_FRI","external","Discretionnaire",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provison Tema",,30,"BEL_FRI","external","Discretionnaire",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Hygiène-Tresse",,50,"BEL_FRI","external","Discretionnaire",,,M,,,,,,
